Metal,Date,USD per tonne
ALU,2022-04-27,3114.9434931550504
IRON,2022-04-27,152.06648234870906
TIN,2022-04-27,39329.70421527192
TUNGSTEN,2022-04-27,339.3538521987338
USD,2022-04-27,32151.0
XCU,2022-04-27,8971.241012181968
